epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,15304.1,1.53931,1.17804,0.01273,0.68127,0.57333,0.62821,0.34091,1.83559,1.68277,0.01551,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,15801.2,1.52475,1.15762,0.01263,0.68715,0.57202,0.62735,0.34026,1.83153,1.68381,0.01547,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,16298.4,1.51103,1.1335,0.01247,0.69237,0.57091,0.62773,0.341,1.83302,1.68548,0.01544,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,16795.6,1.50306,1.11898,0.01235,0.68893,0.57577,0.6284,0.34107,1.83111,1.68894,0.01541,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,17291.9,1.49617,1.10844,0.01224,0.68701,0.57471,0.62705,0.34062,1.83239,1.69225,0.01545,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,17787.2,1.48679,1.08669,0.01215,0.68446,0.57445,0.62711,0.34068,1.83154,1.69758,0.01542,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,18283.1,1.47343,1.08051,0.01198,0.69181,0.56874,0.62759,0.34098,1.83242,1.6959,0.01541,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,18779.4,1.45773,1.0458,0.01189,0.68906,0.57216,0.62948,0.34145,1.83278,1.69701,0.01539,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,19275.2,1.44507,1.03158,0.01183,0.67884,0.58135,0.62961,0.3414,1.82908,1.70539,0.01535,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,19771.9,1.43623,1.01327,0.01168,0.6796,0.58034,0.62966,0.34155,1.83168,1.70797,0.01536,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,20270.3,1.42616,1.002,0.01154,0.68304,0.57998,0.62921,0.34082,1.83504,1.70544,0.01542,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,20769.3,1.40958,0.98006,0.01144,0.68713,0.5802,0.62884,0.34074,1.83688,1.70519,0.01545,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,21266.8,1.39494,0.96235,0.01117,0.68024,0.58508,0.62856,0.34061,1.84112,1.7046,0.0155,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,21762.5,1.38504,0.96375,0.01107,0.68089,0.58417,0.62878,0.34102,1.84002,1.70884,0.0155,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,22257.6,1.37567,0.94048,0.01099,0.68557,0.58158,0.6298,0.34158,1.84159,1.71087,0.0155,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,22754,1.36107,0.92113,0.01081,0.67896,0.58499,0.62976,0.34198,1.84057,1.71573,0.0155,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,23250.2,1.34605,0.90532,0.0107,0.67893,0.58546,0.62983,0.34224,1.84138,1.71544,0.01551,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,23746.7,1.3412,0.9022,0.0107,0.69506,0.57447,0.63008,0.34228,1.84255,1.72082,0.01552,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,24243,1.32531,0.88146,0.01054,0.68721,0.58009,0.62956,0.34172,1.84358,1.72559,0.01554,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,24737.4,1.31767,0.87023,0.01041,0.68429,0.58269,0.62851,0.3418,1.84672,1.72422,0.01555,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,25235.1,1.30098,0.84835,0.0102,0.68166,0.5854,0.62865,0.34192,1.84518,1.73385,0.01554,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,25729.8,1.28689,0.83881,0.01011,0.69093,0.57944,0.62865,0.34226,1.8441,1.7432,0.01551,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,26226,1.27285,0.81818,0.00997,0.69615,0.57635,0.62883,0.34207,1.8436,1.74756,0.01552,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,26721.5,1.26892,0.81192,0.0099,0.69937,0.57243,0.62908,0.34242,1.84488,1.75377,0.01553,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,27216,1.25108,0.80252,0.00979,0.69999,0.57605,0.62911,0.34272,1.84916,1.75589,0.01559,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,27713,1.23492,0.77684,0.00956,0.70264,0.57068,0.62889,0.34289,1.85185,1.76284,0.01562,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,28209.3,1.21883,0.76803,0.00949,0.70253,0.57211,0.62917,0.34271,1.8583,1.76269,0.01572,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,28705,1.21132,0.75092,0.00932,0.6974,0.57453,0.62836,0.34292,1.85707,1.7707,0.0157,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,29202,1.19932,0.74622,0.00917,0.70305,0.56992,0.62821,0.343,1.85876,1.77771,0.01571,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,29698.3,1.19158,0.7275,0.00912,0.70737,0.56828,0.62842,0.3431,1.86017,1.78867,0.01568,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,30193.9,1.16515,0.71517,0.0089,0.71214,0.56884,0.62784,0.34355,1.86244,1.79741,0.01572,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,30690.5,1.15504,0.69524,0.0088,0.71339,0.57055,0.62801,0.3443,1.86407,1.8059,0.01575,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,31187.9,1.14191,0.68254,0.00864,0.71082,0.57002,0.62736,0.34354,1.86888,1.81476,0.0158,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,31684,1.12124,0.67454,0.00851,0.71323,0.56683,0.62792,0.34451,1.87163,1.82081,0.01584,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,32180.5,1.11809,0.664,0.00842,0.7105,0.56759,0.62652,0.3437,1.87516,1.83018,0.01587,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,32675.8,1.10249,0.66505,0.00821,0.71181,0.56618,0.62614,0.34387,1.87477,1.84357,0.01588,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,33171.4,1.09204,0.64844,0.0081,0.70212,0.57139,0.62561,0.34359,1.87808,1.85068,0.01594,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,33668.5,1.07324,0.6278,0.00799,0.71829,0.56081,0.6257,0.34392,1.87948,1.86187,0.01596,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,34164.3,1.06198,0.6161,0.00788,0.72551,0.55734,0.62554,0.34434,1.87946,1.87414,0.01598,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,34660.7,1.04766,0.60939,0.0077,0.71939,0.5592,0.62426,0.34383,1.87856,1.8887,0.01595,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,35155.7,1.03571,0.59853,0.00768,0.71552,0.56121,0.62344,0.34377,1.88041,1.90429,0.01597,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,35652.3,1.01836,0.58825,0.00747,0.71581,0.56474,0.62463,0.34425,1.87948,1.9221,0.01595,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,36148.6,1.00526,0.57516,0.00736,0.71185,0.56259,0.62331,0.34397,1.87898,1.93774,0.01596,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,36643.3,0.99383,0.5664,0.00719,0.70428,0.56908,0.62348,0.34452,1.87902,1.95329,0.01595,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,37140.4,0.97594,0.55385,0.00709,0.70574,0.56596,0.62232,0.3445,1.88266,1.96654,0.01598,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,37636,0.96901,0.54354,0.007,0.71496,0.55958,0.62148,0.34524,1.88225,1.98741,0.016,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,38132,0.95538,0.54515,0.00691,0.71714,0.55642,0.62072,0.34469,1.88766,1.99669,0.01607,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,38628.2,0.93995,0.53459,0.00679,0.71573,0.55669,0.61915,0.34453,1.89257,2.00892,0.01613,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,39123.9,0.93136,0.52989,0.00671,0.71243,0.55805,0.61834,0.34409,1.89546,2.02519,0.01615,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,39619.5,0.92437,0.52183,0.00659,0.71258,0.55803,0.61798,0.34457,1.89732,2.04413,0.01617,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,40114.6,0.91043,0.5128,0.00652,0.71408,0.55785,0.61787,0.3448,1.89961,2.05675,0.01622,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,40610.3,0.89712,0.50535,0.00642,0.71341,0.55281,0.61667,0.34475,1.90357,2.07221,0.01627,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,41106,0.89196,0.49665,0.00628,0.72045,0.54862,0.61584,0.34477,1.90821,2.08703,0.01631,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,41602.7,0.87864,0.48912,0.00623,0.71112,0.55055,0.61481,0.34453,1.91135,2.10336,0.01637,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,42098.5,0.87001,0.4852,0.00612,0.71396,0.54765,0.61362,0.34427,1.91458,2.11564,0.01641,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,42594,0.86456,0.4836,0.00603,0.70808,0.55055,0.61335,0.34441,1.9152,2.13151,0.01643,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,43088.9,0.85351,0.4721,0.00599,0.7104,0.54727,0.61308,0.34476,1.91982,2.14312,0.01647,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,43585.3,0.8445,0.46351,0.00591,0.71086,0.54719,0.61224,0.34487,1.91841,2.16117,0.0165,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,44081.2,0.83593,0.45969,0.00581,0.70952,0.54524,0.6108,0.34432,1.92343,2.17234,0.01657,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,44575.4,0.8304,0.45892,0.00581,0.70777,0.54482,0.61078,0.34472,1.92606,2.18526,0.0166,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,45071.8,0.82919,0.45876,0.00579,0.71246,0.53984,0.6091,0.34446,1.92853,2.19737,0.01665,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,45569.2,0.7105,0.28815,0.00492,0.71971,0.534,0.60836,0.34429,1.93316,2.20758,0.01673,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,46065.5,0.70489,0.28782,0.00488,0.7204,0.53622,0.60954,0.34454,1.93572,2.221,0.01676,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,46560.6,0.69695,0.28407,0.00483,0.71646,0.53712,0.60971,0.34486,1.94287,2.22738,0.01683,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,47054.6,0.69252,0.27914,0.00478,0.71492,0.53712,0.60969,0.34467,1.94587,2.23685,0.01686,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,47550.9,0.68829,0.27782,0.00473,0.71698,0.5331,0.60727,0.34397,1.95557,2.23818,0.01694,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
