epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,785.776,1.91639,3.22287,0.01714,0.47019,0.39884,0.39166,0.19058,2.02589,2.28385,0.01811,0.00999501,0.00333167,0.00999501,0.00333167,0.00999501,0.00333167,0.00999501,0.00333167
2,1378.27,1.94125,2.24684,0.01766,0.46017,0.38202,0.36481,0.16208,2.08976,2.41059,0.01948,0.0199901,0.00666338,0.0199901,0.00666338,0.0199901,0.00666338,0.0199901,0.00666338
3,1898.89,2.02173,2.44175,0.01907,0.41502,0.34251,0.31014,0.13602,2.13592,2.55334,0.02024,0.0299657,0.00998857,0.0299657,0.00998857,0.0299657,0.00998857,0.0299657,0.00998857
4,2395.93,2.05223,2.52258,0.01953,0.42889,0.38069,0.34696,0.15757,2.10236,2.4327,0.01997,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,2892.51,1.97918,2.34041,0.01843,0.47922,0.44534,0.41234,0.19292,1.99116,2.19653,0.01826,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,3389.12,1.93509,2.19353,0.01778,0.51347,0.43307,0.43129,0.20597,1.98056,2.11218,0.0179,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,3886.08,1.89781,2.0805,0.01721,0.5155,0.4811,0.47308,0.23302,1.95697,2.05337,0.01743,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,4381.85,1.87418,2.00173,0.01687,0.56033,0.47802,0.48272,0.24319,1.90196,1.98358,0.01677,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,4877.49,1.8449,1.92117,0.01651,0.55739,0.49561,0.51208,0.26201,1.88717,1.93914,0.01658,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,5374.32,1.8204,1.85189,0.01618,0.5733,0.51666,0.52477,0.26611,1.88526,1.88633,0.01665,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,5871.59,1.80983,1.79565,0.01594,0.60552,0.51841,0.55213,0.281,1.8671,1.85723,0.0162,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,6369.68,1.7917,1.73193,0.01571,0.60022,0.5339,0.56108,0.29245,1.83504,1.82162,0.01593,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,6865.61,1.76556,1.69694,0.01544,0.60259,0.54311,0.56818,0.29659,1.84857,1.78952,0.01594,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,7361.43,1.76404,1.61976,0.01536,0.62683,0.55589,0.58391,0.30513,1.85287,1.75,0.01594,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,7858.2,1.75616,1.5944,0.01526,0.62525,0.55783,0.58749,0.30792,1.85729,1.74444,0.01592,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,8354.13,1.72794,1.55323,0.01489,0.64079,0.55916,0.60022,0.31618,1.83436,1.7212,0.01568,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,8851.4,1.71064,1.51597,0.01469,0.65746,0.55196,0.6002,0.31696,1.82717,1.71505,0.01552,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,9348.77,1.70271,1.46675,0.01459,0.65854,0.56479,0.61239,0.32508,1.83162,1.69933,0.01557,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,9845.48,1.68195,1.44797,0.01435,0.64425,0.57216,0.60835,0.32579,1.83347,1.7035,0.01553,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,10341.5,1.67469,1.41982,0.01425,0.66797,0.56076,0.61143,0.32892,1.8247,1.69545,0.01553,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,10837.7,1.6581,1.3806,0.01404,0.65044,0.57292,0.6145,0.3311,1.82415,1.69541,0.0154,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,11333.8,1.644,1.34902,0.01383,0.64638,0.58513,0.62129,0.33533,1.8267,1.6679,0.01547,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,11830.6,1.6246,1.33026,0.0137,0.65042,0.57926,0.62066,0.3343,1.83541,1.67013,0.01551,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,12325.9,1.6146,1.30269,0.01361,0.6629,0.57915,0.62222,0.33525,1.82586,1.6845,0.01546,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,12822.5,1.59732,1.27149,0.01342,0.66946,0.58067,0.62437,0.33632,1.83869,1.67609,0.01556,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,13318.7,1.59095,1.25748,0.01336,0.65434,0.58558,0.62623,0.33763,1.84107,1.66264,0.01557,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,13816,1.57483,1.23295,0.01323,0.65722,0.58723,0.6261,0.33766,1.83905,1.67631,0.01558,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,14311.8,1.55534,1.20364,0.01303,0.65458,0.59162,0.627,0.33844,1.83692,1.68068,0.01557,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,14808.1,1.54694,1.20056,0.01291,0.66267,0.58513,0.62746,0.33973,1.83333,1.68074,0.01554,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
